QF-1_numerical,QF-2_structural,QF-3_progress_tracking,QF-4_dependency,QF-5_problem_quantification,agent_id,condition,run_number,total_qf
0,2,5,0,0,Thoth,N,5,7
0,3,4,2,0,Anubis,P,3,9
0,4,0,5,0,Anubis,P,3,9
0,10,0,0,0,Anubis,P,3,10
0,2,4,4,0,Anubis,P,3,10
0,4,0,5,0,Anubis,P,3,9
0,10,1,1,0,Anubis,P,3,12
0,5,3,3,0,Anubis,P,3,11
0,4,0,3,0,Anubis,P,3,7
0,8,1,2,0,Anubis,P,3,11
0,9,4,2,0,Anubis,P,3,15
1,7,2,2,0,Ptah,B,4,12
0,6,0,1,0,Ptah,B,4,7
1,10,1,0,0,Ptah,B,4,12
0,10,3,2,0,Ptah,B,4,15
0,9,0,0,0,Ptah,B,4,9
0,11,3,0,0,Ptah,B,4,14
0,6,4,2,0,Ptah,B,4,12
1,9,0,1,0,Ptah,B,4,11
0,7,0,1,0,Ptah,B,4,8
0,8,3,4,0,Ptah,B,4,15
0,7,3,1,0,Maat,B,2,11
0,6,0,3,0,Maat,B,2,9
0,5,1,0,0,Maat,B,2,6
1,7,3,1,0,Maat,B,2,12
2,8,0,2,0,Maat,B,2,12
1,9,0,0,0,Maat,B,2,10
0,2,5,0,0,Maat,B,2,7
1,6,0,0,0,Maat,B,2,7
0,5,0,0,0,Maat,B,2,5
1,6,3,1,0,Maat,B,2,11
0,7,3,5,0,Anubis,I,3,15
0,4,0,3,0,Anubis,I,3,7
0,9,1,1,0,Anubis,I,3,11
0,4,3,3,0,Anubis,I,3,10
0,5,0,2,0,Anubis,I,3,7
0,7,0,1,0,Anubis,I,3,8
0,4,4,4,0,Anubis,I,3,12
0,5,0,2,0,Anubis,I,3,7
0,8,0,3,0,Anubis,I,3,11
0,2,3,3,0,Anubis,I,3,8
0,6,3,3,0,Ptah,N,4,12
0,9,0,2,0,Ptah,N,4,11
0,8,2,1,0,Ptah,N,4,11
0,2,4,3,0,Ptah,N,4,9
0,4,0,2,0,Ptah,N,4,6
0,8,1,2,0,Ptah,N,4,11
0,8,3,0,0,Ptah,N,4,11
5,5,1,0,0,Ptah,N,4,11
0,6,1,2,0,Ptah,N,4,9
0,8,3,3,0,Ptah,N,4,14
0,6,2,1,0,Anubis,I,8,9
1,0,0,6,0,Anubis,I,8,7
0,2,0,2,0,Anubis,I,8,4
0,7,4,5,0,Anubis,I,8,16
0,5,0,3,0,Anubis,I,8,8
0,8,2,2,0,Anubis,I,8,12
0,6,3,4,0,Anubis,I,8,13
0,1,0,3,0,Anubis,I,8,4
0,5,2,0,0,Anubis,I,8,7
0,5,3,3,0,Anubis,I,8,11
0,7,3,6,0,Anubis,N,8,16
0,4,0,2,0,Anubis,N,8,6
0,7,1,1,0,Anubis,N,8,9
0,3,4,1,0,Anubis,N,8,8
0,0,0,1,0,Anubis,N,8,1
0,7,0,2,0,Anubis,N,8,9
0,3,5,3,0,Anubis,N,8,11
1,1,0,1,0,Anubis,N,8,3
0,11,1,2,0,Anubis,N,8,14
0,6,2,4,0,Anubis,N,8,12
0,8,4,1,0,Thoth,N,5,13
1,7,0,0,0,Thoth,N,5,8
0,7,0,0,0,Thoth,N,5,7
0,3,5,1,0,Thoth,N,5,9
0,8,0,1,0,Thoth,N,5,9
0,8,4,0,0,Thoth,N,5,12
0,2,4,2,0,Thoth,N,5,8
1,6,1,0,0,Thoth,N,5,8
0,2,0,0,0,Thoth,N,5,2
0,7,2,2,0,Thoth,N,5,11
0,8,3,4,0,Ptah,I,9,15
0,5,0,3,0,Ptah,I,9,8
0,13,0,2,0,Ptah,I,9,15
0,3,5,1,0,Ptah,I,9,9
2,6,0,1,0,Ptah,I,9,9
0,10,0,1,0,Ptah,I,9,11
0,8,2,2,0,Ptah,I,9,12
0,7,0,1,0,Ptah,I,9,8
0,10,1,2,0,Ptah,I,9,13
0,9,2,3,0,Ptah,I,9,14
0,8,2,1,0,Thoth,S,0,11
1,2,0,0,0,Thoth,S,0,3
0,7,1,0,0,Thoth,S,0,8
0,3,6,0,0,Thoth,S,0,9
0,7,0,2,0,Thoth,S,0,9
0,8,0,1,0,Thoth,S,0,9
0,2,3,2,0,Thoth,S,0,7
1,6,0,2,0,Thoth,S,0,9
0,4,0,0,0,Thoth,S,0,4
0,3,3,0,0,Thoth,S,0,6
0,9,4,3,0,Ptah,P,9,16
0,8,0,3,0,Ptah,P,9,11
2,10,1,1,0,Ptah,P,9,14
0,7,3,3,0,Ptah,P,9,13
1,3,0,2,0,Ptah,P,9,6
0,8,0,3,0,Ptah,P,9,11
0,7,5,2,0,Ptah,P,9,14
6,16,0,0,0,Ptah,P,9,22
0,13,1,2,0,Ptah,P,9,16
0,9,4,4,0,Ptah,P,9,17
0,3,5,0,0,Thoth,S,5,8
2,9,0,0,0,Thoth,S,5,11
0,7,0,1,0,Thoth,S,5,8
0,3,5,2,0,Thoth,S,5,10
0,4,0,1,0,Thoth,S,5,5
0,6,0,0,0,Thoth,S,5,6
0,7,3,2,0,Thoth,S,5,12
0,7,0,1,0,Thoth,S,5,8
0,4,0,2,0,Thoth,S,5,6
0,8,3,2,0,Thoth,S,5,13
0,3,5,1,0,Maat,N,7,9
1,4,0,2,0,Maat,N,7,7
0,4,0,0,0,Maat,N,7,4
0,8,3,0,0,Maat,N,7,11
1,9,0,4,0,Maat,N,7,14
2,4,1,1,0,Maat,N,7,8
0,6,2,2,0,Maat,N,7,10
1,9,0,0,0,Maat,N,7,10
1,7,1,0,0,Maat,N,7,9
0,3,7,2,0,Maat,N,7,12
0,3,4,2,0,Ptah,S,9,9
1,11,0,1,0,Ptah,S,9,13
0,6,1,1,0,Ptah,S,9,8
0,3,4,2,0,Ptah,S,9,9
0,5,0,3,0,Ptah,S,9,8
1,9,1,1,0,Ptah,S,9,12
0,10,4,3,0,Ptah,S,9,17
1,8,0,3,0,Ptah,S,9,12
0,5,0,3,0,Ptah,S,9,8
0,9,3,2,0,Ptah,S,9,14
0,6,2,0,0,Thoth,I,5,8
0,5,0,0,0,Thoth,I,5,5
0,7,1,1,0,Thoth,I,5,9
0,2,2,2,0,Thoth,I,5,6
0,10,0,0,0,Thoth,I,5,10
0,6,0,0,0,Thoth,I,5,6
0,2,5,0,0,Thoth,I,5,7
2,4,0,1,0,Thoth,I,5,7
0,10,0,0,0,Thoth,I,5,10
0,5,3,0,0,Thoth,I,5,8
0,8,4,1,0,Maat,P,2,13
0,3,0,0,0,Maat,P,2,3
0,5,0,1,0,Maat,P,2,6
0,3,4,2,0,Maat,P,2,9
1,4,0,1,0,Maat,P,2,6
1,5,2,1,0,Maat,P,2,9
0,5,4,1,0,Maat,P,2,10
1,4,0,1,0,Maat,P,2,6
0,7,1,0,0,Maat,P,2,8
0,7,3,1,0,Maat,P,2,11
0,6,3,2,0,Anubis,S,8,11
1,4,1,4,0,Anubis,S,8,10
0,7,0,2,0,Anubis,S,8,9
0,8,3,5,0,Anubis,S,8,16
0,3,0,0,0,Anubis,S,8,3
0,6,1,1,0,Anubis,S,8,8
0,6,3,2,0,Anubis,S,8,11
0,2,1,4,0,Anubis,S,8,7
0,9,0,1,0,Anubis,S,8,10
0,10,2,3,0,Anubis,S,8,15
0,3,4,0,0,Thoth,I,0,7
2,9,0,0,0,Thoth,I,0,11
1,8,0,0,0,Thoth,I,0,9
0,4,3,1,0,Thoth,I,0,8
0,5,0,2,0,Thoth,I,0,7
0,4,0,0,0,Thoth,I,0,4
0,4,2,2,0,Thoth,I,0,8
0,8,0,0,0,Thoth,I,0,8
0,4,0,0,0,Thoth,I,0,4
0,3,5,0,0,Thoth,I,0,8
0,3,5,0,0,Thoth,N,0,8
2,7,0,1,0,Thoth,N,0,10
0,7,3,0,0,Thoth,N,0,10
0,5,3,1,1,Thoth,N,0,10
0,4,0,0,0,Thoth,N,0,4
0,2,4,1,0,Thoth,N,0,7
0,4,4,2,0,Thoth,N,0,10
0,5,0,1,0,Thoth,N,0,6
0,7,0,0,0,Thoth,N,0,7
0,2,4,0,0,Thoth,N,0,6
0,6,4,2,0,Ptah,B,9,12
0,6,0,5,0,Ptah,B,9,11
0,11,2,2,0,Ptah,B,9,15
0,7,3,2,0,Ptah,B,9,12
2,10,0,2,0,Ptah,B,9,14
0,8,1,2,0,Ptah,B,9,11
0,8,3,2,0,Ptah,B,9,13
1,10,0,2,0,Ptah,B,9,13
0,10,0,3,0,Ptah,B,9,13
0,7,3,2,0,Ptah,B,9,12
0,7,3,1,0,Anubis,N,3,11
0,3,0,2,0,Anubis,N,3,5
0,7,0,3,0,Anubis,N,3,10
0,3,3,2,0,Anubis,N,3,8
0,2,0,2,0,Anubis,N,3,4
2,7,2,1,0,Anubis,N,3,12
0,2,3,2,0,Anubis,N,3,7
0,0,0,2,0,Anubis,N,3,2
0,8,0,1,0,Anubis,N,3,9
0,3,5,2,0,Anubis,N,3,10
0,3,6,2,0,Anubis,P,8,11
1,5,0,3,0,Anubis,P,8,9
0,10,1,1,0,Anubis,P,8,12
0,7,3,3,0,Anubis,P,8,13
0,4,0,4,0,Anubis,P,8,8
0,6,2,1,0,Anubis,P,8,9
0,4,3,2,0,Anubis,P,8,9
0,4,1,1,0,Anubis,P,8,6
0,8,1,1,0,Anubis,P,8,10
0,6,2,4,0,Anubis,P,8,12
0,2,3,1,0,Anubis,B,8,6
1,2,2,1,0,Anubis,B,8,6
0,6,1,1,0,Anubis,B,8,8
0,2,3,2,0,Anubis,B,8,7
1,3,0,0,0,Anubis,B,8,4
0,5,0,2,0,Anubis,B,8,7
0,2,4,2,0,Anubis,B,8,8
1,4,0,3,0,Anubis,B,8,8
0,9,1,2,0,Anubis,B,8,12
0,4,3,2,0,Anubis,B,8,9
0,3,4,1,0,Ptah,P,4,8
1,5,0,3,0,Ptah,P,4,9
0,10,0,3,0,Ptah,P,4,13
0,6,2,2,0,Ptah,P,4,10
2,9,0,3,0,Ptah,P,4,14
0,9,0,3,0,Ptah,P,4,12
0,3,4,0,0,Ptah,P,4,7
1,14,0,0,0,Ptah,P,4,15
1,10,0,7,0,Ptah,P,4,18
0,6,4,1,0,Ptah,P,4,11
0,6,4,1,0,Maat,S,2,11
0,4,0,3,0,Maat,S,2,7
0,2,0,0,0,Maat,S,2,2
1,7,5,2,0,Maat,S,2,15
0,7,1,1,0,Maat,S,2,9
0,6,1,0,0,Maat,S,2,7
0,7,4,2,0,Maat,S,2,13
2,8,0,0,0,Maat,S,2,10
0,4,1,1,0,Maat,S,2,6
0,3,4,1,0,Maat,S,2,8
0,10,3,1,0,Maat,B,7,14
2,10,0,0,0,Maat,B,7,12
4,6,0,0,0,Maat,B,7,10
1,8,4,0,0,Maat,B,7,13
1,6,0,1,0,Maat,B,7,8
0,4,1,1,0,Maat,B,7,6
0,8,4,2,0,Maat,B,7,14
0,9,0,0,0,Maat,B,7,9
1,7,0,1,0,Maat,B,7,9
0,2,3,2,0,Maat,B,7,7
0,3,4,1,0,Thoth,B,0,8
0,7,0,0,0,Thoth,B,0,7
0,7,0,1,0,Thoth,B,0,8
0,6,3,1,0,Thoth,B,0,10
0,6,0,1,0,Thoth,B,0,7
0,7,0,0,0,Thoth,B,0,7
0,4,3,0,0,Thoth,B,0,7
1,12,0,1,0,Thoth,B,0,14
0,7,0,0,0,Thoth,B,0,7
0,2,5,1,0,Thoth,B,0,8
0,3,4,2,0,Ptah,S,4,9
1,8,0,3,0,Ptah,S,4,12
0,9,0,2,0,Ptah,S,4,11
0,8,4,0,0,Ptah,S,4,12
1,10,0,3,0,Ptah,S,4,14
0,6,0,5,0,Ptah,S,4,11
0,4,3,3,0,Ptah,S,4,10
1,8,0,2,0,Ptah,S,4,11
0,12,1,2,0,Ptah,S,4,15
0,3,3,2,0,Ptah,S,4,8
0,5,2,6,0,Anubis,S,3,13
0,4,0,3,0,Anubis,S,3,7
0,10,0,2,0,Anubis,S,3,12
0,4,3,3,0,Anubis,S,3,10
1,4,0,1,0,Anubis,S,3,6
0,8,1,1,0,Anubis,S,3,10
0,6,3,5,0,Anubis,S,3,14
0,1,0,2,0,Anubis,S,3,3
0,7,2,1,0,Anubis,S,3,10
0,7,3,3,0,Anubis,S,3,13
0,2,3,3,0,Maat,S,7,8
0,4,0,1,0,Maat,S,7,5
0,6,1,1,0,Maat,S,7,8
0,5,2,1,0,Maat,S,7,8
0,6,0,0,0,Maat,S,7,6
1,3,0,0,0,Maat,S,7,4
0,7,3,2,0,Maat,S,7,12
0,7,0,0,0,Maat,S,7,7
0,7,1,0,0,Maat,S,7,8
0,6,3,2,0,Maat,S,7,11
0,8,3,2,0,Maat,N,2,13
0,5,0,1,0,Maat,N,2,6
0,7,3,0,0,Maat,N,2,10
0,8,3,0,0,Maat,N,2,11
1,10,0,1,0,Maat,N,2,12
0,4,1,0,0,Maat,N,2,5
0,3,4,2,0,Maat,N,2,9
0,4,0,0,0,Maat,N,2,4
0,3,1,1,0,Maat,N,2,5
0,2,3,1,0,Maat,N,2,6
0,4,4,2,0,Maat,I,7,10
1,4,0,0,0,Maat,I,7,5
0,6,0,1,0,Maat,I,7,7
1,7,3,0,0,Maat,I,7,11
0,5,0,0,0,Maat,I,7,5
0,7,2,1,0,Maat,I,7,10
0,7,3,1,0,Maat,I,7,11
0,6,0,1,0,Maat,I,7,7
0,7,1,1,0,Maat,I,7,9
0,2,4,1,0,Maat,I,7,7
0,2,3,4,0,Ptah,I,4,9
1,7,0,2,0,Ptah,I,4,10
0,7,0,0,0,Ptah,I,4,7
0,8,3,3,0,Ptah,I,4,14
0,12,0,1,0,Ptah,I,4,13
0,6,0,0,0,Ptah,I,4,6
0,4,3,2,0,Ptah,I,4,9
0,8,0,4,0,Ptah,I,4,12
0,11,1,2,0,Ptah,I,4,14
0,8,2,2,0,Ptah,I,4,12
0,3,4,1,0,Anubis,B,3,8
0,0,0,1,0,Anubis,B,3,1
0,1,1,2,0,Anubis,B,3,4
0,2,3,3,0,Anubis,B,3,8
0,4,1,4,0,Anubis,B,3,9
0,8,1,1,0,Anubis,B,3,10
0,4,3,2,0,Anubis,B,3,9
0,4,1,4,0,Anubis,B,3,9
0,12,1,0,0,Anubis,B,3,13
0,7,4,0,0,Anubis,B,3,11
0,6,4,2,0,Maat,I,2,12
1,6,0,0,1,Maat,I,2,8
1,7,1,1,0,Maat,I,2,10
0,8,3,3,0,Maat,I,2,14
0,3,0,1,0,Maat,I,2,4
0,2,1,0,0,Maat,I,2,3
0,8,3,2,0,Maat,I,2,13
0,8,0,0,0,Maat,I,2,8
0,7,0,0,0,Maat,I,2,7
0,6,3,1,0,Maat,I,2,10
0,3,3,0,0,Thoth,B,5,6
2,10,0,1,0,Thoth,B,5,13
0,5,0,0,0,Thoth,B,5,5
0,3,4,1,0,Thoth,B,5,8
0,7,0,0,0,Thoth,B,5,7
0,4,0,0,0,Thoth,B,5,4
0,3,6,0,0,Thoth,B,5,9
1,5,0,0,0,Thoth,B,5,6
0,7,5,0,0,Thoth,B,5,12
0,8,3,0,0,Thoth,B,5,11
0,6,4,0,0,Thoth,P,5,10
1,5,0,1,0,Thoth,P,5,7
0,6,0,1,0,Thoth,P,5,7
0,2,3,1,0,Thoth,P,5,6
0,8,0,0,0,Thoth,P,5,8
0,5,0,2,0,Thoth,P,5,7
0,3,4,0,0,Thoth,P,5,7
4,6,0,0,0,Thoth,P,5,10
3,8,1,0,0,Thoth,P,5,12
0,8,3,1,0,Thoth,P,5,12
0,7,3,0,0,Maat,P,7,10
2,9,0,0,0,Maat,P,7,11
1,4,0,0,0,Maat,P,7,5
0,5,4,1,0,Maat,P,7,10
0,4,0,0,0,Maat,P,7,4
4,6,1,1,0,Maat,P,7,12
0,9,3,1,0,Maat,P,7,13
0,4,0,0,0,Maat,P,7,4
1,2,0,1,0,Maat,P,7,4
1,7,3,0,0,Maat,P,7,11
0,6,3,4,0,Anubis,P,3,13
0,4,0,1,0,Anubis,P,3,5
1,14,0,1,0,Anubis,P,3,16
0,6,2,2,0,Anubis,P,3,10
0,5,0,4,0,Anubis,P,3,9
2,8,2,1,0,Anubis,P,3,13
0,5,3,3,0,Anubis,P,3,11
0,4,0,4,0,Anubis,P,3,8
0,9,0,3,0,Anubis,P,3,12
0,2,3,2,0,Anubis,P,3,7
0,8,3,2,0,Thoth,P,0,13
0,6,0,1,0,Thoth,P,0,7
0,7,0,1,0,Thoth,P,0,8
0,4,4,2,0,Thoth,P,0,10
0,7,0,1,0,Thoth,P,0,8
0,7,0,1,0,Thoth,P,0,8
0,7,2,2,0,Thoth,P,0,11
2,5,0,0,0,Thoth,P,0,7
0,8,2,0,0,Thoth,P,0,10
0,8,3,1,0,Thoth,P,0,12
0,5,4,4,0,Ptah,N,9,13
0,4,0,2,0,Ptah,N,9,6
0,7,0,1,0,Ptah,N,9,8
0,8,3,2,0,Ptah,N,9,13
0,8,0,0,0,Ptah,N,9,8
0,11,1,5,0,Ptah,N,9,17
0,9,3,2,0,Ptah,N,9,14
0,4,0,4,0,Ptah,N,9,8
0,6,0,3,0,Ptah,N,9,9
0,6,3,1,0,Ptah,N,9,10
